accession,entry_name,protein_names,gene_names
P57088,TMM33_HUMAN,Transmembrane protein 33 (Protein DB83) (SHINC-3),TMEM33 DB83
P57678,GEMI4_HUMAN,Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97),GEMIN4
P57737,CORO7_HUMAN,Coronin-7 (Crn7) (70 kDa WD repeat tumor rejection antigen homolog),CORO7
P57740,NU107_HUMAN,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107),NUP107
P57764,GSDMD_HUMAN,"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD)]",GSDMD DFNA5L GSDMDC1 FKSG10
P57772,SELB_HUMAN,"Selenocysteine-specific elongation factor (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)",EEFSEC SELB
P58335,ANTR2_HUMAN,Anthrax toxin receptor 2 (Capillary morphogenesis gene 2 protein) (CMG-2),ANTXR2 CMG2
P58546,MTPN_HUMAN,Myotrophin (Protein V-1),MTPN
P59666,DEF3_HUMAN,"Neutrophil defensin 3 (Defensin, alpha 3) (HNP-3) (HP-3) (HP3) [Cleaved into: HP 3-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]",DEFA3 DEF3
P59998,ARPC4_HUMAN,Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC),ARPC4 ARC20
P60059,SC61G_HUMAN,Protein transport protein Sec61 subunit gamma,SEC61G
P60174,TPIS_HUMAN,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase),TPI1 TPI
P60228,EIF3E_HUMAN,Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48),EIF3E EIF3S6 INT6
P60468,SC61B_HUMAN,Protein transport protein Sec61 subunit beta,SEC61B
P60660,MYL6_HUMAN,Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6),MYL6
P60709,ACTB_HUMAN,"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB
P60842,IF4A1_HUMAN,Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1),EIF4A1 DDX2A EIF4A
P60866,RS20_HUMAN,40S ribosomal protein S20 (Small ribosomal subunit protein uS10),RPS20
P60891,PRPS1_HUMAN,Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I),PRPS1
P60900,PSA6_HUMAN,Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain),PSMA6 PROS27
P60903,S10AA_HUMAN,Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11),S100A10 ANX2LG CAL1L CLP11
P60953,CDC42_HUMAN,Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein),CDC42
P60981,DEST_HUMAN,Destrin (Actin-depolymerizing factor) (ADF),DSTN ACTDP DSN
P60983,GMFB_HUMAN,Glia maturation factor beta (GMF-beta),GMFB
P61006,RAB8A_HUMAN,Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel),RAB8A MEL RAB8
P61009,SPCS3_HUMAN,Signal peptidase complex subunit 3 (Microsomal signal peptidase 22/23 kDa subunit) (SPC22/23) (SPase 22/23 kDa subunit),SPCS3 SPC22 UNQ1841/PRO3567
P61011,SRP54_HUMAN,Signal recognition particle subunit SRP54 (EC 3.6.5.-) (Signal recognition particle 54 kDa protein),SRP54
P61018,RAB4B_HUMAN,Ras-related protein Rab-4B (EC 3.6.5.2),RAB4B PP1596
P61019,RAB2A_HUMAN,Ras-related protein Rab-2A (EC 3.6.5.2),RAB2A RAB2
P61020,RAB5B_HUMAN,Ras-related protein Rab-5B (EC 3.6.5.2),RAB5B
P61026,RAB10_HUMAN,Ras-related protein Rab-10 (EC 3.6.5.2),RAB10
P62837,UB2D2_HUMAN,Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1),UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B
P61086,UBE2K_HUMAN,Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase),UBE2K HIP2 LIG
P61088,UBE2N_HUMAN,Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N),UBE2N BLU
P61106,RAB14_HUMAN,Ras-related protein Rab-14,RAB14
P61158,ARP3_HUMAN,Actin-related protein 3 (Actin-like protein 3),ACTR3 ARP3
P61160,ARP2_HUMAN,Actin-related protein 2 (Actin-like protein 2),ACTR2 ARP2
P61163,ACTZ_HUMAN,Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog),ACTR1A CTRN1
P61201,CSN2_HUMAN,COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15),COPS2 CSN2 TRIP15
P61204,ARF3_HUMAN,ADP-ribosylation factor 3,ARF3
P61221,ABCE1_HUMAN,ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40
P61224,RAP1B_HUMAN,Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B),RAP1B OK/SW-cl.11
P61225,RAP2B_HUMAN,Ras-related protein Rap-2b (EC 3.6.5.2),RAP2B
P61247,RS3A_HUMAN,40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1),RPS3A FTE1 MFTL
P61254,RL26_HUMAN,60S ribosomal protein L26 (Large ribosomal subunit protein uL24),RPL26
P61313,RL15_HUMAN,60S ribosomal protein L15 (Large ribosomal subunit protein eL15),RPL15 EC45 TCBAP0781
P61326,MGN_HUMAN,Protein mago nashi homolog,MAGOH MAGOHA
P61353,RL27_HUMAN,60S ribosomal protein L27 (Large ribosomal subunit protein eL27),RPL27
P61421,VA0D1_HUMAN,V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1),ATP6V0D1 ATP6D VPATPD
P61513,RL37A_HUMAN,60S ribosomal protein L37a (Large ribosomal subunit protein eL43),RPL37A
P61586,RHOA_HUMAN,Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12),RHOA ARH12 ARHA RHO12
P61604,CH10_HUMAN,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF)",HSPE1
P61619,S61A1_HUMAN,Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1),SEC61A1 SEC61A
P61626,LYSC_HUMAN,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",LYZ LZM
P61769,B2MG_HUMAN,Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3],B2M CDABP0092 HDCMA22P
P61803,DAD1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1),DAD1
P61916,NPC2_HUMAN,NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein),NPC2 HE1
P61923,COPZ1_HUMAN,Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP),COPZ1 COPZ CGI-120 HSPC181
P61927,RL37_HUMAN,60S ribosomal protein L37 (G1.16) (Large ribosomal subunit protein eL37),RPL37
P61956,SUMO2_HUMAN,Small ubiquitin-related modifier 2 (SUMO-2) (HSMT3) (SMT3 homolog 2) (SUMO-3) (Sentrin-2) (Ubiquitin-like protein SMT3B) (Smt3B),SUMO2 SMT3B SMT3H2
P61960,UFM1_HUMAN,Ubiquitin-fold modifier 1,UFM1 C13orf20 BM-002
P61964,WDR5_HUMAN,WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein),WDR5 BIG3
P61970,NTF2_HUMAN,Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15),NUTF2 NTF2
P61978,HNRPK_HUMAN,Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP),HNRNPK HNRPK
P61981,1433G_HUMAN,"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",YWHAG
P62081,RS7_HUMAN,40S ribosomal protein S7 (Small ribosomal subunit protein eS7),RPS7
P62136,PP1A_HUMAN,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16),PPP1CA PPP1A
P62140,PP1B_HUMAN,Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53),PPP1CB
P62191,PRS4_HUMAN,26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1),PSMC1
P62195,PRS8_HUMAN,26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG),PSMC5 SUG1
P62241,RS8_HUMAN,40S ribosomal protein S8 (Small ribosomal subunit protein eS8),RPS8 OK/SW-cl.83
P62244,RS15A_HUMAN,40S ribosomal protein S15a (Small ribosomal subunit protein uS8),RPS15A OK/SW-cl.82
P62249,RS16_HUMAN,40S ribosomal protein S16 (Small ribosomal subunit protein uS9),RPS16
P62258,1433E_HUMAN,14-3-3 protein epsilon (14-3-3E),YWHAE
P62263,RS14_HUMAN,40S ribosomal protein S14 (Small ribosomal subunit protein uS11),RPS14 PRO2640
P62266,RS23_HUMAN,40S ribosomal protein S23 (Small ribosomal subunit protein uS12),RPS23
P62269,RS18_HUMAN,40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13),RPS18 D6S218E
P62273,RS29_HUMAN,40S ribosomal protein S29 (Small ribosomal subunit protein uS14),RPS29
P62277,RS13_HUMAN,40S ribosomal protein S13 (Small ribosomal subunit protein uS15),RPS13
P62280,RS11_HUMAN,40S ribosomal protein S11 (Small ribosomal subunit protein uS17),RPS11
P62304,RUXE_HUMAN,Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE),SNRPE
P62312,LSM6_HUMAN,U6 snRNA-associated Sm-like protein LSm6,LSM6
P62314,SMD1_HUMAN,Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1),SNRPD1
P62316,SMD2_HUMAN,Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2),SNRPD2 SNRPD1
P62318,SMD3_HUMAN,Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3),SNRPD3
P62330,ARF6_HUMAN,ADP-ribosylation factor 6 (EC 3.6.5.2),ARF6
P62333,PRS10_HUMAN,26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42),PSMC6 SUG2
P62424,RL7A_HUMAN,60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3),RPL7A SURF-3 SURF3
P62487,RPB7_HUMAN,DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19),POLR2G RPB7
P62491,RB11A_HUMAN,Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8),RAB11A RAB11
P62495,ERF1_HUMAN,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1),ETF1 ERF1 RF1 SUP45L1
P62701,RS4X_HUMAN,"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)",RPS4X CCG2 RPS4 SCAR
P67775,PP2AA_HUMAN,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C),PPP2CA
P62750,RL23A_HUMAN,60S ribosomal protein L23a (Large ribosomal subunit protein uL23),RPL23A
P62753,RS6_HUMAN,40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6),RPS6 OK/SW-cl.2
P62805,H4_HUMAN,Histone H4,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4
P62820,RAB1A_HUMAN,Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein),RAB1A RAB1
P62826,RAN_HUMAN,GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein),RAN ARA24 OK/SW-cl.81
P62829,RL23_HUMAN,60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14),RPL23
P62834,RAP1A_HUMAN,Ras-related protein Rap-1A (EC 3.6.5.2) (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1),RAP1A KREV1
P62841,RS15_HUMAN,40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19),RPS15 RIG
P62847,RS24_HUMAN,40S ribosomal protein S24 (Small ribosomal subunit protein eS24),RPS24
P62851,RS25_HUMAN,40S ribosomal protein S25 (Small ribosomal subunit protein eS25),RPS25
P62854,RS26_HUMAN,40S ribosomal protein S26 (Small ribosomal subunit protein eS26),RPS26
P62857,RS28_HUMAN,40S ribosomal protein S28 (Small ribosomal subunit protein eS28),RPS28
P62861,RS30_HUMAN,FAU ubiquitin-like and ribosomal protein S30 [Cleaved into: Ubiquitin-like protein FUBI; 40S ribosomal protein S30 (Small ribosomal subunit protein eS30)],FAU
P62873,GBB1_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),GNB1
P62875,RPAB5_HUMAN,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)",POLR2L
P62879,GBB2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2),GNB2
P62888,RL30_HUMAN,60S ribosomal protein L30 (Large ribosomal subunit protein eL30),RPL30
Q59GN2,R39L5_HUMAN,Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5),RPL39P5
P62899,RL31_HUMAN,60S ribosomal protein L31 (Large ribosomal subunit protein eL31),RPL31
P62906,RL10A_HUMAN,60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6),RPL10A NEDD6
P62910,RL32_HUMAN,60S ribosomal protein L32 (Large ribosomal subunit protein eL32),RPL32 PP9932
P62913,RL11_HUMAN,60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5),RPL11
P62917,RL8_HUMAN,60S ribosomal protein L8 (Large ribosomal subunit protein uL2),RPL8
P62937,PPIA_HUMAN,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",PPIA CYPA
P62942,FKB1A_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase),FKBP1A FKBP1 FKBP12
P62979,RS27A_HUMAN,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)],RPS27A UBA80 UBCEP1
P62993,GRB2_HUMAN,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2),GRB2 ASH
P62995,TRA2B_HUMAN,"Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)",TRA2B SFRS10
P63000,RAC1_HUMAN,Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1),RAC1 TC25 MIG5
P63010,AP2B1_HUMAN,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),AP2B1 ADTB2 CLAPB1
Q5JWF2,GNAS1_HUMAN,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),GNAS GNAS1
P63104,1433Z_HUMAN,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1),YWHAZ
Q66LE6,2ABD_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform (PP2A subunit B isoform B55-delta) (PP2A subunit B isoform PR55-delta) (PP2A subunit B isoform R2-delta) (PP2A subunit B isoform delta),PPP2R2D KIAA1541
P63167,DYL1_HUMAN,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)",DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1
P63172,DYLT1_HUMAN,Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog),DYNLT1 TCTEL1 TCTEX-1 TCTEX1
P63173,RL38_HUMAN,60S ribosomal protein L38 (Large ribosomal subunit protein eL38),RPL38
P63208,SKP1_HUMAN,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),SKP1 EMC19 OCP2 SKP1A TCEB1L
P63220,RS21_HUMAN,40S ribosomal protein S21 (Small ribosomal subunit protein eS21),RPS21
P63241,IF5A1_HUMAN,Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D),EIF5A
P63244,RACK1_HUMAN,"Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]",RACK1 GNB2L1 HLC7 PIG21
P63261,ACTG_HUMAN,"Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]",ACTG1 ACTG
P63279,UBC9_HUMAN,SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18),UBE2I UBC9 UBCE9
P67809,YBOX1_HUMAN,Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor),YBX1 NSEP1 YB1
P67812,SC11A_HUMAN,Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18),SEC11A SEC11L1 SPC18 SPCS4A
P67870,CSK2B_HUMAN,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),CSNK2B CK2N G5A
P67936,TPM4_HUMAN,Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4),TPM4
P68032,ACTC_HUMAN,"Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]",ACTC1 ACTC
P68036,UB2L3_HUMAN,Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3),UBE2L3 UBCE7 UBCH7
P68104,EF1A1_HUMAN,Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7),EEF1A1 EEF1A EF1A LENG7
P68363,TBA1B_HUMAN,Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain],TUBA1B
P68366,TBA4A_HUMAN,Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain),TUBA4A TUBA1
P68371,TBB4B_HUMAN,Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain),TUBB4B TUBB2C
P68402,PA1B2_HUMAN,Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta),PAFAH1B2 PAFAHB
P68431,H31_HUMAN,Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l),H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J
P68871,HBB_HUMAN,Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin],HBB
P69849,NOMO3_HUMAN,BOS complex subunit NOMO3 (Nodal modulator 3) (pM5 protein 3),NOMO3
P69905,HBA_HUMAN,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin],HBA1; HBA2
P78344,IF4G2_HUMAN,Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97),EIF4G2 DAP5 OK/SW-cl.75
P78347,GTF2I_HUMAN,General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135) (SRF-Phox1-interacting protein) (SPIN) (Williams-Beuren syndrome chromosomal region 6 protein),GTF2I BAP135 WBSCR6
P78362,SRPK2_HUMAN,SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal],SRPK2
P78371,TCPB_HUMAN,T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta),CCT2 99D8.1 CCTB
P78406,RAE1L_HUMAN,mRNA export factor RAE1 (Rae1 protein homolog) (mRNA-associated protein mrnp 41),RAE1 MRNP41
P78417,GSTO1_HUMAN,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R),GSTO1 GSTTLP28
P78527,PRKDC_HUMAN,DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460),PRKDC HYRC HYRC1
P78537,BL1S1_HUMAN,Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1) (GCN5-like protein 1) (Protein RT14),BLOC1S1 BLOS1 GCN5L1 RT14
P79483,DRB3_HUMAN,"HLA class II histocompatibility antigen, DR beta 3 chain (MHC class II antigen DRB3)",HLA-DRB3
P80217,IN35_HUMAN,Interferon-induced 35 kDa protein (IFP 35) (Ifi-35),IFI35 IFP35
